date,open,high,low,close,volume
2024-05-10,93.52,93.86,92.47,92.84,986905
2024-05-13,92.66,93.07,92.43,92.93,1004711
2024-05-14,93.19,93.27,92.44,92.64,1130551
2024-05-15,93.28,94.0,93.28,93.54,1140892
2024-05-16,94.5,95.15,91.62,92.35,1114931
2024-05-17,92.89,93.54,92.85,93.24,1063637
2024-05-20,92.56,93.63,91.93,93.04,1087117
2024-05-21,92.76,93.55,91.2,91.61,1166834
2024-05-22,91.27,92.87,91.09,92.57,967521
2024-05-23,92.7,94.34,92.4,93.7,1078322
2024-05-24,93.51,93.59,92.53,92.6,1087835
2024-05-27,93.01,93.97,91.89,92.54,1193451
2024-05-28,92.42,93.2,90.83,91.38,1021656
2024-05-29,90.72,92.41,89.9,92.0,1012453
2024-05-30,91.0,92.01,90.62,91.91,1072942
2024-05-31,91.75,93.31,91.27,92.56,993768
2024-06-03,92.66,93.42,91.83,93.06,1015048
2024-06-04,92.92,92.98,92.43,92.84,1103949
2024-06-05,92.99,93.49,92.59,93.42,994307
2024-06-06,93.51,94.33,91.86,92.63,962528
2024-06-07,92.77,92.92,92.22,92.63,920411
2024-06-10,91.75,93.88,91.32,93.72,944733
2024-06-11,93.28,96.06,92.85,95.57,1074386
2024-06-12,95.42,96.16,92.89,93.65,999929
2024-06-13,93.83,93.98,93.14,93.76,1083857
2024-06-14,93.77,94.47,93.38,93.77,959522
2024-06-17,94.11,94.25,92.34,92.85,859868
2024-06-18,92.83,93.47,92.67,93.1,846170
2024-06-19,93.01,94.68,92.6,93.84,867405
2024-06-20,94.11,94.86,93.12,93.49,881784
2024-06-21,93.21,95.52,93.02,95.0,786915
2024-06-24,94.73,96.2,94.44,95.61,829240
2024-06-25,95.74,96.2,95.08,95.19,858029
2024-06-26,94.73,96.68,94.65,96.63,877684
2024-06-27,96.44,97.28,95.07,95.59,837407
2024-06-28,95.46,96.13,95.31,95.52,945427
2024-07-01,95.44,96.34,95.01,96.21,772031
2024-07-02,96.84,97.06,96.31,96.46,744640
2024-07-03,96.92,97.17,95.91,96.4,713136
2024-07-04,96.61,98.14,96.56,97.61,778835
2024-07-05,96.88,100.61,96.45,100.37,700564
2024-07-08,100.62,100.86,100.31,100.7,737482
2024-07-09,101.22,102.01,100.88,100.95,740770
2024-07-10,101.4,101.87,99.52,100.15,822224
2024-07-11,100.27,101.68,99.9,101.12,750442
2024-07-12,100.99,101.48,99.56,99.85,847941
2024-07-15,100.25,100.55,99.5,100.15,830691
2024-07-16,99.19,102.01,98.57,101.38,804787
2024-07-17,101.1,102.89,100.7,102.49,704639
2024-07-18,102.09,104.76,101.74,104.69,718161
2024-07-19,104.89,105.61,104.15,104.98,778802
2024-07-22,105.47,106.86,105.31,106.62,835184
2024-07-23,106.77,107.74,105.16,105.72,663217
2024-07-24,105.67,105.99,105.3,105.74,769181
2024-07-25,106.35,106.72,105.7,105.98,627138
2024-07-26,106.94,107.46,104.85,105.5,820671
2024-07-29,105.47,105.93,104.71,105.62,702121
2024-07-30,104.93,105.12,104.16,104.62,690644
2024-07-31,104.7,106.13,104.36,105.77,684368
2024-08-01,105.78,105.99,104.0,104.53,816893
2024-08-02,104.71,104.78,103.46,103.9,839541
2024-08-05,104.2,104.79,101.87,102.81,855039
2024-08-06,102.68,103.35,102.26,103.14,872793
2024-08-07,102.87,104.06,101.95,103.55,760730
2024-08-08,103.92,104.77,103.91,104.67,822528
2024-08-09,104.98,105.57,103.2,103.56,810976
2024-08-12,103.59,103.98,103.36,103.83,906804
2024-08-13,103.99,105.71,103.96,104.77,926034
2024-08-14,104.88,105.63,104.28,105.11,918503
2024-08-15,104.84,107.48,104.32,106.59,860416
2024-08-16,105.54,108.37,105.06,108.08,795487
2024-08-19,108.48,109.07,107.53,107.92,987734
2024-08-20,108.31,109.01,108.04,108.15,915971
2024-08-21,108.51,110.0,107.69,109.42,933271
2024-08-22,109.81,110.32,109.32,109.71,937395
2024-08-23,110.33,110.5,109.05,109.67,964502
2024-08-26,110.05,112.07,109.06,111.65,1091179
2024-08-27,111.39,111.41,109.66,110.82,879383
2024-08-28,111.52,111.85,109.91,110.6,880755
2024-08-29,110.01,110.96,109.7,110.25,908111
2024-08-30,110.3,111.22,109.73,110.84,1105064
2024-09-02,111.06,111.16,109.53,110.13,1041555
2024-09-03,110.86,111.26,110.55,110.72,1123043
2024-09-04,110.99,111.67,110.82,110.99,1134168
2024-09-05,110.81,111.53,109.85,110.91,1000877
2024-09-06,111.26,111.29,109.04,109.52,984604
2024-09-09,109.41,112.08,108.99,111.37,969993
2024-09-10,111.82,113.17,111.08,111.46,997832
2024-09-11,111.92,112.0,111.26,111.36,1151967
2024-09-12,111.18,111.66,109.35,109.49,1035359
2024-09-13,110.03,110.09,108.12,108.94,1011889
2024-09-16,109.04,109.5,107.46,108.15,1197887
2024-09-17,107.97,108.34,106.15,107.19,1092204
2024-09-18,107.08,107.8,104.97,105.61,967094
2024-09-19,105.89,106.95,105.76,106.27,1194215
2024-09-20,106.89,107.33,104.17,104.69,1108028
2024-09-23,104.6,106.42,104.31,105.72,1172750
2024-09-24,106.24,106.74,106.05,106.09,941467
2024-09-25,106.45,107.18,106.17,106.91,1029622
2024-09-26,107.02,107.54,106.14,106.57,1117174
2024-09-27,106.33,107.04,105.56,106.01,1094440
2024-09-30,106.43,106.93,104.45,104.91,1037139
2024-10-01,104.86,105.53,103.81,104.41,1041266
2024-10-02,104.84,105.14,104.68,104.9,957281
2024-10-03,105.09,105.23,102.96,104.1,956597
2024-10-04,103.24,104.26,102.79,103.9,1063647
2024-10-07,103.89,105.24,103.0,104.65,903530
2024-10-08,104.49,105.97,103.95,105.47,860913
2024-10-09,105.95,106.19,103.26,103.72,827796
2024-10-10,103.79,104.63,103.67,104.11,960536
2024-10-11,103.83,104.07,102.96,103.37,870904
2024-10-14,103.58,104.28,103.04,103.59,980357
2024-10-15,102.57,104.82,102.01,104.35,780380
2024-10-16,104.27,106.47,103.62,105.36,856888
2024-10-17,105.71,106.78,105.51,106.61,909434
2024-10-18,106.31,106.82,105.54,106.74,945543
2024-10-21,106.83,107.99,104.89,105.51,756103
2024-10-22,105.65,106.08,104.23,105.15,937594
2024-10-23,105.97,106.65,105.84,105.87,865208
2024-10-24,105.69,106.26,105.5,106.16,842779
2024-10-25,105.55,106.79,104.91,106.45,769315
2024-10-28,106.07,106.43,105.51,105.96,819072
2024-10-29,105.92,107.11,105.35,107.11,861799
2024-10-30,107.18,107.45,106.17,106.62,671847
2024-10-31,106.94,107.49,106.09,106.16,802329
2024-11-01,106.32,108.5,105.63,107.61,826716
2024-11-04,107.44,108.12,107.18,107.68,787695
2024-11-05,107.61,109.45,107.2,108.35,803177
2024-11-06,108.15,109.25,107.22,108.36,682414
2024-11-07,108.1,111.38,107.17,110.64,661620
2024-11-08,110.81,112.16,110.56,111.7,836423
2024-11-11,111.07,111.27,109.77,110.28,726064
2024-11-12,110.61,110.87,110.18,110.72,609730
2024-11-13,111.14,111.56,110.9,111.29,686944
2024-11-14,111.12,112.52,110.84,112.03,742123
2024-11-15,112.3,115.04,111.93,114.21,742731
2024-11-18,113.76,115.06,111.54,112.64,775194
2024-11-19,112.06,114.2,111.38,113.97,711889
2024-11-20,113.77,114.26,113.34,113.42,667555
2024-11-21,112.67,113.0,110.98,111.82,709488
2024-11-22,110.83,110.85,110.09,110.28,718047
2024-11-25,109.56,110.92,108.85,110.43,808824
2024-11-26,110.65,111.23,109.34,109.67,713929
2024-11-27,109.59,110.62,109.01,109.78,744255
2024-11-28,110.03,111.35,109.16,110.84,830017
2024-11-29,111.16,112.36,110.88,111.82,690866
2024-12-02,111.69,113.4,111.12,112.86,866595
2024-12-03,113.38,114.51,112.31,114.13,714909
2024-12-04,114.42,117.1,114.25,116.27,876544
2024-12-05,116.65,117.09,114.12,114.32,975081
2024-12-06,114.32,115.72,113.83,115.04,793548
2024-12-09,115.32,117.98,114.83,117.07,817267
2024-12-10,117.31,118.0,117.1,117.86,947570
2024-12-11,118.19,118.53,116.49,116.95,957313
2024-12-12,117.24,119.99,117.17,119.4,808641
2024-12-13,119.76,120.36,118.52,118.92,992417
2024-12-16,119.02,119.7,117.89,118.52,844105
2024-12-17,119.22,121.7,119.13,120.45,915990
2024-12-18,120.08,120.68,119.73,120.56,1066296
2024-12-19,119.92,123.63,118.65,123.38,1106183
2024-12-20,124.38,125.16,123.63,124.15,945302
2024-12-23,123.87,125.8,122.68,124.85,944739
2024-12-24,124.55,126.42,123.24,125.86,1070097
2024-12-25,125.19,129.73,125.08,128.95,1038133
2024-12-26,128.28,130.95,128.09,130.17,1113127
2024-12-27,131.24,131.86,130.51,130.66,1084574
2024-12-30,131.2,133.76,130.6,133.17,966164
